# 複素解析 / Complex analysis
# reading	word	pos	flags
あだまーるのさんえんていり	アダマールの三円定理	noun
いちじぶんすうへんかん	一次分数変換	noun
かいせきかんすう	解析関数	noun
かいせきせつぞく	解析接続	noun
かそらてぃわいえるしゅとらすのていり	カソラティ・ワイエルシュトラスの定理	noun
きょうやくふくそすう	共役複素数	noun
きょく	極	noun	common
きょすう	虚数	noun
きょすうたんい	虚数単位	noun
きょぶ	虚部	noun
こーしーのせきぶんこうしき	コーシーの積分公式	noun
こーしーのせきぶんていり	コーシーの積分定理	noun
こーしーりーまんのほうていしき	コーシー・リーマンの方程式	noun
さいだいちのげんり	最大値の原理	noun
しゅばるつくりすとっふぇるへんかん	シュヴァルツ・クリストッフェル変換	noun
しゅばるつのほだい	シュヴァルツの補題	noun
しんせいとくいてん	真性特異点	noun
じっぶ	実部	noun
じょきょかのうとくいてん	除去可能特異点	noun
せいかんすう	整関数	noun
せいそく	正則	noun-adj
せいそくかんすう	正則関数	noun
とうかくしゃぞう	等角写像	noun
ぴかーるのていり	ピカールの定理	noun
ふくそすう	複素数	noun
ふくそへいめん	複素平面	noun
ぶんきてん	分岐点	noun
へんかく	偏角	noun
へんかくのげんり	偏角の原理	noun
みったくれふらーのていり	ミッタク・レフラーの定理	noun
めびうすへんかん	メビウス変換	noun
もれらのていり	モレラの定理	noun
ゆうりけいかんすう	有理型関数	noun
りうびるのていり	リウヴィルの定理	noun
りゅうすう	留数	noun
りゅうすうていり	留数定理	noun
りーまんのしゃぞうていり	リーマンの写像定理	noun
りーまんめん	リーマン面	noun
るーしぇのていり	ルーシェの定理	noun
ろーらんてんかい	ローラン展開	noun
